fid,hechos_id,latitud,mes_largo,sievi_clas,hipotesis_,medio_cono,smuertos,depto_hech,lugaro,tvictimas,longitud,fecha_hech,municipio_,slesionado,cid
1,23938376,4.86565217,Enero,CHOQUE,IMPERICIA EN EL MANEJO,POR FISCALIA / CRUCE SPOA-SIEDCO,0,RISARALDA,Vias Rurales,1,-75.60077571,2019-01-08,SANTA ROSA DE CABAL,1,1
2,23948511,5.86553468,Enero,CHOQUE,SALIRSE DE LA CALZADA,POLICIA DE TRANSITO RURAL,0,BOYACÁ,Vias Rurales,1,-73.0045635,2019-01-01,SANTA ROSA DE VITERBO,1,2
3,23948529,4.56237065,Enero,ATROPELLO,EXCESO DE VELOCIDAD,POLICIA DE TRANSITO URBANO,1,CUNDINAMARCA,Via urbana,1,-74.13908766,2019-01-01,BOGOTÁ D.C. (CT),0,3
4,23948609,10.98629413,Enero,VOLCAMIENTO,EXCESO DE VELOCIDAD,POLICIA DE TRANSITO URBANO,1,MAGDALENA,Vias Rurales,3,-74.24260345,2019-01-01,CIÉNAGA,2,4
5,23948628,5.71924099,Enero,CHOQUE,EXCESO EN HORAS DE CONDUCCIÓN.,POLICIA DE TRANSITO RURAL,2,CASANARE,Via Nacional,3,-72.01630101,2019-01-01,PORE,1,5
6,23948652,8.87758837,Enero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO RURAL,1,CÓRDOBA,Via Nacional,4,-76.33654258,2019-01-01,LOS CÓRDOBAS,3,6
7,23948814,1.2133634,Enero,ATROPELLO,ARRANCAR SIN PRECAUCIÓN,POR DENUNCIA,0,NARIÑO,Via Nacional - Paso Urbano,1,-77.99583536,2019-01-01,RICAURTE,1,7
8,23948886,2.88782714,Enero,CHOQUE,OTRA.,POLICIA DE TRANSITO RURAL,1,HUILA,Vias Rurales,1,-75.39585409,2019-01-01,PALERMO,0,8
9,23948899,10.4758577,Enero,CHOQUE,OTRA.,POLICIA DE TRANSITO URBANO,0,CESAR,Via urbana,3,-73.27350606,2019-01-01,VALLEDUPAR (CT),3,9
10,23948917,3.34655494,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Vias Rurales,1,-76.55202269,2019-01-01,CALI (CT),0,10
11,23948927,3.93366691,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Via urbana,1,-76.48278085,2019-01-01,CALIMA,0,11
12,23948932,3.41476719,Enero,-,-,POR FISCALIA / CRUCE SPOA-SIEDCO,1,VALLE,Via urbana,1,-76.53869888,2019-01-01,CALI (CT),0,12
13,23949371,6.79496395,Enero,ATROPELLO,EXCESO DE VELOCIDAD,POR INFORMACION POLICIVA,0,ANTIOQUIA,Vias Rurales,1,-76.12894397,2019-01-01,FRONTINO,1,13
14,23949392,4.91914367,Enero,CHOQUE,DESOBEDECER SEÑALES DE TRÁNSITO.,POLICIA DE TRANSITO RURAL,0,RISARALDA,Via Nacional,4,-75.62686824,2019-01-01,SANTA ROSA DE CABAL,4,14
15,23949397,5.93389378,Enero,VOLCAMIENTO,EXCESO DE VELOCIDAD,POLICIA DE TRANSITO RURAL,1,CASANARE,Via Nacional,1,-71.85835108,2019-01-01,HATO COROZAL,0,15
16,23949403,6.6903114,Enero,CHOQUE,EXCESO DE VELOCIDAD,POR INFORMACION POLICIVA,1,ANTIOQUIA,Vias Rurales,1,-75.22869117,2019-01-01,GÓMEZ PLATA,0,16
17,23949415,8.44176722,Enero,CHOQUE,ADELANTAR INVADIENDO CARRIL DE SENTIDO CONTRARIO.,POLICIA DE TRANSITO RURAL,1,CÓRDOBA,Via Nacional,1,-75.58563671,2019-01-01,PLANETA RICA,0,17
18,23949436,10.91144021,Enero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO URBANO,1,ATLÁNTICO,Via Nacional,2,-74.87933311,2019-01-01,GALAPA,1,18
19,23949455,5.5989193,Enero,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,POLICIA DE TRANSITO RURAL,0,ANTIOQUIA,Vias Rurales,2,-75.83119565,2019-01-01,JARDÍN,2,19
20,23949466,6.49181434,Enero,VOLCAMIENTO,EMBRIAGUEZ APARENTE,POR INFORMACION POLICIVA,2,BOYACÁ,Vias Rurales,4,-72.50857213,2019-01-01,EL ESPINO,2,20
